,source,target,edge
0,Ashtanga Hridayam,luminous  centuries,lies
1,Sanskrit masterpiece,vibrant  life,unfolds upon
2,first  limb,meticulously  Ayurveda,sets
3,Ayurveda,five  elements,unveils
4,text,meticulously  natures,lies
5,Next  Sarirasthana,subtlest  channels,delves into
6,sturdy  bones,rasa,tissues
7,Recognizing,proper  health,becomes
8,Srotasthana,vital life nook,illuminates
9,how  blockages,health,reveals
10,we,optimal energy flow,learn
11,fourth  that,health,unveils
12,Ayurveda,insightful  diagnoses,classifies
13,surgical Ashtanga Hridayam,holistic  balance,equips
14,Kaumarabhritya,tender  childhood,guides
15,Ayurveda,physical  infancy,sheds
16,little  ones,vibrant  health,ensure
17,Rasayana,longevity,whispers
18,that,inner  fire,unveils
19,legendary  Rasayana,grace,offers
20,Vadhakiriyastrana,envy,equips
21,Ayurveda,inner scorpion purification,details
22,Finally  Mokshasthana,ultimate self realization,transcends
23,Ayurveda,liberation,delves into
24,ethical  it,true  fulfillment,offers
