source,target,edge
connie,own,decides
later  scream,distance,heard in
christian,then  elder,paralyzed by
temple,fire,set on
,outside cult him,wails with
it,religious  awakening,'s
c. mackenzie,craig cast,joined
later craig di francia,action cast,revealed
sebastian  maniscalco,later paul ben cast,revealed as
we,just  film,tried
we,tests,went through
m,international sales rights,circling
canadian musician robbie robertson,soundtrack,supervised
it,original music tracks,features
it,reviewed  franchise,is
she,accidentally  mystique,injures
military  forces,arrest,tasked with
train,vuk,attacked by
kota eberhardt,telepath selene gallio,portrays
singer,men,return
last  which,penn,stand
jessica chastain,same  character,considered for
mauro fiore,cinematographer,served as
filming,october,completed on
soundtrack,digitally  june,released
album,digitally  august,released
film,studios motion pictures,distributed by
it,$ 103.7 million,ended
millie thomas aisha,,chandler
it,executive producer yoshimitsu banno,dedicated to executive
vivienne graham,former employee dr,approach former
monster which,several monarch dr,frees
madison,mythological  texts,disowns
joe morton,older  .,appears as
godzilla,king themselves,credited as
when  dougherty,when  reaction,stated
we,godzilla,empathizing with
only  mandate,monarch,was
ten  writers,treatment,contributed to
script,year,took
dougherty,filming  production,changed
film,this,became
it,big  dinosaurs,look like big
other  actors,body,perform
designer scott chambliss,art directors,managed
single,may,released on
tracks,bear mccreary,written by
score,also  mccreary,conducted by
teaser  poster,december,released
theatrical  poster,april,released
film,originally  june,scheduled
collectible  tickets,two  sizes,offered in
4k release,hdr10,includes
retail  exclusives,clear  files,include
such  heroes,one  liners,are ready
it,science fiction twist,was
currently action films,extensive stunt work,tend
examples,indiana jones franchise,include
,typical action horror films,themes
mall cop,recent  trend,is
they,often entertainment storytelling,are
both,many  roles,had many
producer,production  filmmaking,supervises
finally  producer,marketing,oversee
line producer,certain  cases,credited
most  producers,college  school,start in
film directors,screenwriters,started as
other film directors,film school,attended
directors,different  approaches,use different
directors,such  producing,take
film schools,sound  stages,equipped with sound
full degree course,five  years,designed for
berlin,berlin tv station rbb,cooperates with
,paris,femis in
national film awards,prominent film award india,is
awards,first  1954,presented in
national film awards,main  categories,presented in
he,home enters apartment,returns
mass  riot,gotham,breaks
arthur,arkham state hospital,imprisoned at
film war dogs,august,premiered in
we,even  joker,doing
then  we,that,reshoot
dante pereira olson,douglas cast,joined
it,theatrically warner bros,scheduled
it,eye  me,been
i,it,wait
they,it,did
i,it,wait
they,it,did
film,short samuel beckett,is
second  draft,22  may,produced by
beckett,zero director alan mostel,were interested
beckett,then buster keaton,suggested
this,only united states,being
david rayner clark,max wall,directed
,violently camera left,shifts
couple,other,look at
camera,vestibule,cuts to
camera,close  up,gives
she,fumbling  feet,descends
she,eyes,closes
coat tails,stairs,seen
simply  mechanics,tasks,are laborious
he,them,ignores
he,still eye patch,has
he,chair,starts from
esse  est,aut percipere,percipi
he,away  himself,get
e,merely  person,is
e,blind  eye,is
script,various  ways,interpreted in various
viewers,work,asked
particular  beckett,particular  project,involved
four  directors,series,worked on
he,book,went
david heyman,film,confirmed
previous acting experience,school plays,was in
barron,four  films,appointed
executive  producers,tanya seghatchian tanya wigram,include
he,real  passion,expressed real
directors,other,been supportive
production designer,eight  films,is
so  we,substantial  piece,was
harry potter series,four  composers,had
desplat,harry potter,returned
,2  2011,part
they,trumps,came
director,last  time,shouts
harry potter,unkind muggle aunt,is
however  part,2  2d,released in
2017  johns,january,reported
principal  photography,august,began on
david ayer,director,with
,bruce wayne barry allen,affleck as
justice league,worldwide  november,released
aquaman,october,announced in
production,august,began in
villain mister mind,credits mid scene,introduced in
month  sequel,diego comic con,announced at
production,early  december,begun by early
month pedro pascal,key  role,cast in
filming  locations,warner bros,include
wonder woman,1984  june,scheduled
initial  script,berlanti,drafted by
dan mazeau,writer,brought
2018 john francis daley,march,hired
plot,speed force multiverse,revealed
production,january,scheduled
flash,sometime  2021,expected
emmerich peter who,emmerich peter safran,through
production,2020,expected
aquaman,2  december,scheduled
suicide squad,shortly batman v superman,occurred
2017  johns,january,reported
principal  photography,august,began on
david ayer,director,with
,bruce wayne barry allen,affleck as
justice league,worldwide  november,released
aquaman,october,announced in
production,august,began in
villain mister mind,credits mid scene,introduced in
month  sequel,diego comic con,announced at
production,early  december,begun by early
month pedro pascal,key  role,cast in
filming  locations,warner bros,include
wonder woman,1984  june,scheduled
initial  script,berlanti,drafted by
dan mazeau,writer,brought
2018 john francis daley,march,hired
plot,speed force multiverse,revealed
production,january,scheduled
flash,sometime  2021,expected
emmerich peter who,emmerich peter safran,through
production,2020,expected
aquaman,2  december,scheduled
suicide squad,shortly batman v superman,occurred
jim,two freddie kiss,reacts
they,last minute slot,agree
2011  production,april,confirmed in
whishaw,project,left
i,man,ceased
discussions,him,began about
fletcher,executive producer credit,received
vinyl release,8  february,followed on
digital  version,22  january,released
instead  it,threatening  illness,referred to
it,outside north america,is
new  markets,france,included
it,ever south korea,is
they,conclusions,jumped to
horror,supernatural  fiction,overlap with
prevalent  elements,ghosts,include
it,third faust legend,is
this,trick films,was
trick films,special  effects,were silent
l'inferno,three  artists,directed by
series,close surrealist movement,is
film,five  stories,split into
it,german  expressionism,is
f. w. murnau,themed  movie,made
it,gothic horror novel dracula,was
this,expressionism filmmaking,popularized
they,german expressionist movement,become
exaggerated  smile,dc joker,was
film,poorly  audiences,received by
silent  classic,special morality effects,is
it,earlier  film,was
film,well  critics,received by
assistant,abnormal  brain,gives
first  one,rue morgue,is
it,boris karloff,'s
first  one,july,was in
it,blue murder mystery room,was
it,boris karloff,stars
it,six  movies,was
universal  pictures,iconic  actors,paired
peter ruric,screenplay,wrote
fiction horror film,hit  frankenstein,was
actress elsa lanchester,bride,portrayed
he,writing,continued by
radiation effects,slowly  him,begin
film,daughter title role,called
intervening criticism,intervening decades,divided
film,boris karloff,was
phantom creeps,,was universal
other  studios,lead,followed
fright  factor,way,enhanced
film director,film gimmick,considered
1950s,well creature feature,is
fly,vincent fiction horror price,is
film,popular cult culture,become
phrase twilight zone,surreal  experiences,used
1970s,american horror films,was
italian  film,nicolas roeg,was
murder,main horror films,were
poltergeist,ever film critics association,ranked
changeling,psychological peter medak,is
influence,still  films,seen in
bloody  valentine,day fiction,is
first  shake,philippines,released
several action horror movies,1980s,released in
dark fantasy horror which,special artist stan winston,is
event horizon,american fiction horror paul,is
monster horror,quite  1990s,was
tremors,first  franchise,is
valentine,contrast,was
others,many  awards,was
it,alejandro amenábar,written
comic book adaptations,blade series,became
pronounced  trends,horror films,marked
films,english language countries,become successful
notable  film,spanish debut filmmaker,is
cold  prey,norwegian roar uthaug,is
others,psychological horror film,proved
latter  film,sequel,spawned
,,prometheus
verónica,real horror events,is
happy death day,february,released in
,typical action horror films,themes
category,also fantasy genre,fuses
horror which,holiday  season,depicts
it,christmas,set during
examples,all r house,include
examples,frankenstein,include
common  themes,vengeful  ghosts,include vengeful
examples,ring,include
genre,sometimes science fiction,overlap with
examples,,include
it,most  1964,was
examples,unfriended friend request,include unfriended
one,noticeable side effects,is sleeplessness
early horror films,social  controversy,created great
however horror movies,positive  endings,present positive
satirical comedy drama,illicit love affair,concerned with
others,duck soup,include
sometimes  portmanteau,words,splatter
military  comedies,good  morning,include good
film,thin  coating,is
today  it,international film commerce,become
it,simple  friends,be
1968  festival,19  may,halted on
thierry frémaux,2007,became general
festival,european  films,become
jill forbes,european street cinema,argue in european
however  curse,black  pearl,became
second  film,generated disney pictures logo,was
village roadshow studios,filming port locations,confirmed as filming
suddenly  market,musicals,flooded with
many  comedies,musical  numbers,included
however sequel grease,2 box office,bombed at
chicago,first  oliver,was
,original moulin rouge,idlewild
musical  films,rio,include
indian sound film,,was
however  colour,late  1950s,become
,pyaar pagal hona,dil to
biggest bollywood movie stars,1990s,been
juvenile  stars,box office,appear
american  films,greatly  aleksandrov,impacted
successful  blend,social  message,was
another,popular  films,was
music,singing,limited to
here  work,spectacle,provided
other  director,musical  films,was
all,wife,starred
it,most  type,is
,term,was
they,usually film grants,funded by
individual,viewing,made for individual
griffith,nation,'s
short  comedies,typically  serial,were
animated  cartoons,short  subjects,came
short  films,student  work,become
they,also  period,declined in
